post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
198337339.finding-your-fitness-system-at-northeastern,2026-05-18T23:33:30.833Z,true,2026-05-18T23:33:30.980Z,2026-05-18T23:33:30.980Z,newsletter,everyone,"Finding Your Fitness System at Northeastern: Gym, Clubs, or Wilderness","Northeastern has 81,000 square feet of fitness space, 64 club teams, and a wilderness lodge. The real question is which system matches how you actually stay consistent.",
198275143.you-read-the-right-papers-and-still,2026-05-18T15:35:21.202Z,true,2026-05-18T15:35:21.376Z,2026-05-18T15:35:21.376Z,newsletter,everyone,You Read the Right Papers and Still Can’t Get Hired,Why mastering transformers won’t save you if you can’t explain them to a hospital administrator,
197950246.the-ai-fluency-gap-how-graduate-students,2026-05-16T03:45:02.199Z,true,2026-05-16T03:45:02.358Z,2026-05-16T03:45:02.358Z,newsletter,everyone,The AI Fluency Gap: How Graduate Students Can Master Prompts and Models Before They Master the Job Market,"Why knowing GPT-4o from Claude 3.5 matters more than your GPA, and what Boston’s grad students aren’t being told about AI-powered hiring.",
197772163.should-you-spend-5000-on-ai-conferences,2026-05-14T23:18:12.139Z,true,2026-05-14T23:18:12.285Z,2026-05-14T23:18:12.285Z,newsletter,everyone,"Should You Spend $5,000 on AI Conferences This Summer? A Cost-Benefit Map for Broke Grad Students",Here's the math the conference industry doesn't want you to do.,
197569683.the-first-summer-what-boston-asks,2026-05-13T19:43:35.329Z,true,2026-05-13T19:43:35.463Z,2026-05-13T19:43:35.463Z,newsletter,everyone,The First Summer: What Boston Asks of You When You Arrive in May,"How to learn Boston when money is the constraint: sailing lessons, museum passes, and the infrastructure that makes a city livable",
197304177.the-hidden-cost-of-studying-in-america,2026-05-12T04:06:12.974Z,true,2026-05-12T04:06:13.131Z,2026-05-12T04:06:13.131Z,newsletter,everyone,The Hidden Cost of Studying in America: Food Insecurity by Design,Inside the hidden food economies that force international students to choose between cultural connection and survival.,
197062057.why-your-factory-knows-its-about,2026-05-10T01:54:12.863Z,true,2026-05-10T01:54:12.994Z,2026-05-10T01:54:12.994Z,newsletter,everyone,Why Your Factory Knows It’s About to Break (And You Don’t),"How AI anomaly detection is replacing human guesswork in manufacturing, pharma, and cybersecurity",
196932077.why-your-office-building-burns-50000,2026-05-08T19:10:27.673Z,true,2026-05-08T19:10:27.809Z,2026-05-08T19:10:27.809Z,newsletter,everyone,"Why Your Office Building Burns $50,000 a Year Heating Empty Rooms",How AI-powered sensors are ending four decades of institutional inertia and what the numbers actually say,
196841757.the-device-knows-before-you-do-why,2026-05-07T23:19:41.709Z,true,2026-05-07T23:19:41.860Z,2026-05-07T23:19:41.860Z,newsletter,everyone,The Device Knows Before You Do: Why Your Car Can’t Wait for the Cloud,"At 65 mph, two seconds of latency is 180 feet of road. Edge AI is eliminating the delay that makes cloud-based intelligence too slow for life-or-death decisions.",
196609930.factories-predict-when-machines-will,2026-05-06T01:53:39.094Z,true,2026-05-06T01:53:39.223Z,2026-05-06T01:53:39.223Z,newsletter,everyone,"Factories Predict When Machines Will Fail, But Not When Workers Will",How predictive maintenance makes equipment visible while keeping labor invisible and why that matters.,
196327732.why-your-second-ai-model-breaks-everything,2026-05-03T18:12:29.936Z,true,2026-05-03T18:12:30.059Z,2026-05-03T18:12:30.059Z,newsletter,everyone,Why Your Second AI Model Breaks Everything: The Hidden Engineering of Edge Devices,"Resource contention, thermal throttling, and temporal drift: the three synchronization failures that separate classroom projects from production systems.",
196227793.how-to-read-a-research-paper-in-10,2026-05-02T15:31:46.678Z,true,2026-05-02T15:31:46.835Z,2026-05-02T15:31:46.835Z,newsletter,everyone,How to Read a Research Paper in 10 Minutes,"The Keshav Method for students who need to parse AI papers for co-op work, thesis research, and qualifying exams",
196171859.youre-not-failing-to-keep-up-with,2026-05-01T23:12:36.950Z,true,2026-05-01T23:12:37.112Z,2026-05-01T23:12:37.112Z,newsletter,everyone,You’re Not Failing to Keep Up With AI. No One Can.,Why imposter syndrome in AI is a rational response to an irrational system and the one skill Northeastern students are already learning that actually matters.,
196075414.the-code-switching-advantage-how,2026-05-01T22:02:35.656Z,true,2026-05-01T22:02:35.832Z,2026-05-01T22:02:35.832Z,newsletter,everyone,The Code-Switching Advantage: How to Master Professional Networking,What international students bring to Northeastern’s co-op model and the one grammar shift that unlocks it all.,
195820264.your-productivity-dashboard-is-watching,2026-04-29T01:26:09.863Z,true,2026-04-29T01:26:09.991Z,2026-04-29T01:26:09.991Z,newsletter,everyone,Your Productivity Dashboard Is Watching You,The promise was liberation. The reality is a new form of labor and the realization that productivity is the wrong question.,
195585411.why-50-of-silicon-changes-who-controls,2026-04-27T03:17:01.848Z,true,2026-04-27T03:17:02.006Z,2026-04-27T03:17:02.006Z,newsletter,everyone,Why $50 of Silicon Changes Who Controls AI,"Machine learning that cost $75,000 per deployment eighteen months ago now runs on hardware you can buy for the price of lunch. This isn’t a technical curiosity, it’s the architecture of refusal.",
195283347.the-tech-gap-between-your-degree,2026-04-23T21:33:42.154Z,true,2026-04-23T21:33:42.307Z,2026-04-23T21:33:42.307Z,newsletter,everyone,The Tech Gap Between Your Degree and Your Next Co-op,"Neuromorphic computing, DePIN infrastructure, and green software engineering are reshaping co-op job descriptions.",
195191223.what-projects-are-worth-keeping-from,2026-04-23T01:35:08.214Z,true,2026-04-23T01:35:08.442Z,2026-04-23T01:35:08.442Z,newsletter,everyone,Which Projects Are Worth Keeping From This Semester? ,A Student's Guide to Digital Cleanup for semester,
194987558.the-summer-that-determines-your-co,2026-04-22T03:34:20.010Z,true,2026-04-22T03:34:20.182Z,2026-04-22T03:34:20.182Z,newsletter,everyone,The Summer That Determines Your Co-op Search: What to Build Now,"Portfolio projects, certifications, and network infrastructure: the summer build list that turns applications into offers",
194810430.the-speed-paradox-why-developers,2026-04-20T16:08:55.115Z,true,2026-04-20T16:08:55.611Z,2026-04-20T16:08:55.611Z,newsletter,everyone,The Speed Paradox: Why Developers Using AI Ship More But Trust Less,"The hidden cost of LLM-powered development: 61% more code shipped, 29% trust, and the hollowing out of mastery",
194754750.why-international-students-need-good,2026-04-20T03:08:30.313Z,true,2026-04-20T03:08:30.476Z,2026-04-20T03:08:30.476Z,newsletter,everyone,Why International Students Need Good Portfolios And Projects To Be Noticed,"How side projects, GitHub portfolios, and digital footprints became parallel credentials for students navigating a labor market that doesn’t trust foreign universities",
194629260.the-city-tests-you-how-boston-spring,2026-04-19T00:34:43.828Z,true,2026-04-19T00:34:44.005Z,2026-04-19T00:34:44.005Z,newsletter,everyone,The City Tests You: How Boston Spring Teaches International Students to Read Unstable Systems,"Surviving the volatile New England spring means learning that adaptation isn’t a skill you master once, it’s a negotiation you repeat daily.",
194458647.the-algorithm-as-gatekeeper-what,2026-04-16T22:37:15.472Z,true,2026-04-16T22:37:15.652Z,2026-04-16T22:37:15.652Z,newsletter,everyone,The Algorithm as Gatekeeper: What It Means When Machines Decide Who Gets to Work,"How AI hiring systems don’t just automate bias — they make it permanent, invisible, and legally defensible.",
194363508.i-built-a-rag-pipeline-from-scratch,2026-04-16T02:33:24.461Z,true,2026-04-16T02:33:24.688Z,2026-04-16T02:33:24.688Z,newsletter,everyone,I Built a RAG Pipeline from Scratch — Here's What Nobody Tells You,What the tutorials don't tell you about building with LangChain and Pinecone,
194340021.what-happens-when-an-ai-escapes-its,2026-04-15T22:21:08.629Z,true,2026-04-15T22:21:08.841Z,2026-04-15T22:21:08.841Z,newsletter,everyone,What Happens When an AI Escapes Its Own Sandbox?,Can conscience be engineered into artificial intelligence before the intelligence becomes too powerful to constrain?,
194240965.a-professor-who-knows-you-vs-50000,2026-04-14T22:55:46.523Z,true,2026-04-14T22:55:46.781Z,2026-04-14T22:55:46.781Z,newsletter,everyone,"A Professor Who Knows You vs. 50,000 Alumni Who Don't: Why Network Density Beats Network Size",Why personalized mentorship and high-fidelity connections produce better career outcomes than institutional scale,
194003496.you-dont-choose-a-university-you,2026-04-13T20:01:14.841Z,true,2026-04-13T20:01:15.019Z,2026-04-13T20:01:15.019Z,newsletter,everyone,You Don’t Choose a University. You Choose How You Think.,Why your Master's track matters more than your university's ranking,
193897374.the-0001-token-when-machine-intelligence,2026-04-11T21:43:33.171Z,true,2026-04-11T21:43:33.320Z,2026-04-11T21:43:33.320Z,newsletter,everyone,The $0.001 Token: When Machine Intelligence Became Cheaper Than Storage,"NVIDIA's Rubin platform proves the AI race was never about who builds the smartest model, it's about who makes intelligence cheapest.",
193854501.standard-internships-put-you-near,2026-04-11T03:15:24.847Z,true,2026-04-11T03:15:24.995Z,2026-04-11T03:15:24.995Z,newsletter,everyone,Standard Internships Put You Near the Work. Co-op Puts You In the System.,What Boston teaches Northeastern students that the classroom can't,
193698652.why-engineering-students-dont-learn,2026-04-09T19:42:35.333Z,true,2026-04-09T19:42:35.502Z,2026-04-09T19:42:35.502Z,newsletter,everyone,Why Engineering Students Don’t Learn Gears Anymore,"From gears to grids: How engineering education shifted from building components to architecting systems that span supply chains, power networks, and human behavior",
193584451.arm-breaks-its-own-rules-why-the,2026-04-08T16:02:57.966Z,true,2026-04-08T16:02:58.128Z,2026-04-08T16:02:58.128Z,newsletter,everyone,Arm Breaks Its Own Rules: Why the AGI CPU Ends 35 Years of Neutrality,"The chip designed for agentic AI isn’t just a product launch, it’s a bet that the conductor matters as much as the orchestra.",
193525516.were-teaching-engineers-to-do-the,2026-04-08T00:20:38.700Z,true,2026-04-08T00:20:38.826Z,2026-04-08T00:20:38.826Z,newsletter,everyone,We’re Teaching Engineers to Do the Work AI Already Does for Them,"How AI, digital twins, and low-code platforms exposed the structural obsolescence of execution-focused engineering education and what needs to replace it",
193503489.hiring-managers-look-at-three-things,2026-04-14T20:27:37.326Z,true,2026-04-14T20:27:37.484Z,2026-04-14T20:27:37.484Z,newsletter,everyone,Hiring managers look at three things in your portfolio. Most applicants get one of them wrong.,"For students navigating co-ops and early-career roles — and anyone else starting out in tech — what hiring managers are really looking at, and how to show them what they need to see.",
193315089.the-co-op-system-is-working-exactly,2026-04-06T03:43:16.480Z,true,2026-04-06T03:43:16.608Z,2026-04-06T03:43:16.608Z,newsletter,everyone,"The Co-op System Is Working Exactly as Designed, And That’s the Problem",An analysis of experiential learning placement systems reveals that job search anxiety isn’t a bug. It’s the curriculum.,
193226996.building-a-portfolio-that-gets-you,2026-04-06T03:57:39.499Z,true,2026-04-06T19:23:19.887Z,2026-04-06T19:23:19.887Z,newsletter,everyone,Building a portfolio that gets you hired: Proof of work > resumeYour resume lists what you've done. ,"Your resume lists what you've done. Your portfolio proves you can do it again — and that single difference is what closes offers at companies like Google, Fidelity, and HubSpot.",
193224677.zero-experience-full-offer-how-to,2026-04-09T13:03:06.925Z,true,,,newsletter,everyone,"Zero Experience, Full Offer: How to Land Your First Co-op as an ISE Student",Co-ops & Careers | NortheasternISE Substack,
193224518.adding-ai-to-a-real-app-its-easier,2026-04-11T15:01:38.032Z,true,2026-04-12T19:54:12.103Z,2026-04-12T19:54:12.103Z,newsletter,everyone,Adding AI to a Real App — It's Easier Than It Sounds,I added an LLM-powered matching engine to a full-stack job portal. The big words made it sound hard. It really wasn't — once I understood what was actually happening.,
193221055.my-tech-journey,2026-04-06T01:52:32.789Z,true,2026-04-06T19:02:57.729Z,2026-04-06T19:02:57.729Z,newsletter,everyone,My Tech Journey,"Three roles, two countries, and the lessons each stop taught me.",
193218401.most-students-are-waiting-the-smart,2026-04-11T12:01:45.742Z,true,2026-04-11T12:01:45.918Z,2026-04-11T12:01:45.918Z,newsletter,everyone,Most Students Are Waiting. The Smart Ones Are Building Systems.,"Build projects that prove your skills, not just your knowledge.",
193216220.chapter-14-ethical-prompt-engineering,2026-04-06T01:21:31.918Z,true,,,newsletter,everyone,"Chapter 14: Ethical Prompt Engineering — Power, Bias, and Responsibility",How Sequential Agent Handoffs Amplify Demographic Bias — and the Architectural Pattern That Stops It,
193184621.the-illusion-of-intelligence-what,2026-04-11T17:37:12.757Z,true,2026-04-11T17:37:13.118Z,2026-04-11T17:37:13.118Z,newsletter,everyone,"The Illusion of Intelligence: What AI Can't Do, Can't Remember, and Can't Explain","Why modern AI feels smart, but lacks truth, memory, and accountability",
193144795.your-codebase-remembers-what-you,2026-04-04T07:36:03.708Z,true,2026-04-04T07:36:03.845Z,2026-04-04T07:36:03.845Z,newsletter,everyone,Your Codebase Remembers What You Built. It Doesn't Remember Why.,Why the hardest question to answer about any codebase isn't what — it's why.,
193127655.the-math-behind-why-your-spotify,2026-04-10T13:04:00.779Z,true,2026-04-10T13:04:00.979Z,2026-04-10T13:04:00.979Z,newsletter,everyone,The Math Behind Why Your Spotify Discover Weekly Is So Addictive,A Technical Review of Spotify's Recommendation Engine and the AI Ethics Questions It Raises,
193120499.how-universities-are-redesigning,2026-04-04T16:53:37.730Z,true,2026-04-04T16:53:37.864Z,2026-04-04T16:53:37.864Z,newsletter,everyone,How Universities Are Redesigning Education for an AI-Native Workforce,The shift from knowledge acquisition to cognitive resilience and why it's happening faster than anyone expected.,
193023010.gen-z-engineers-are-abandoning-traditional,2026-04-03T00:29:42.686Z,true,2026-04-03T00:29:42.835Z,2026-04-03T00:29:42.835Z,newsletter,everyone,Gen Z Engineers Are Abandoning Traditional Programs. Here's Why That's Not About Idealism.,How 7.5% unemployment for computer engineers and climate anxiety are reshaping university programs and what it means for the profession by 2030.,
192912938.the-silent-failure-of-ai-research,2026-04-02T01:07:36.295Z,true,,,newsletter,everyone,The Silent Failure of AI Research Assistants (And How I Built a System to Fix It),Stop asking AI to guess. Start forcing it to verify.,
192902221.the-chasm-between-training-a-model,2026-04-02T00:57:26.557Z,true,2026-04-02T00:57:26.680Z,2026-04-02T00:57:26.680Z,newsletter,everyone,The Chasm Between Training a Model and Deploying It on a Chip,How the curriculum gap between ML theory and embedded practice leaves engineers unprepared,
192785994.why-most-ai-projects-fail-in-production,2026-03-31T21:58:53.650Z,true,2026-03-31T21:58:53.796Z,2026-03-31T21:58:53.796Z,newsletter,everyone,Why Most AI Projects Fail in Production And One Engineer Who Bridges That Gap,"Kaustubha Venkata Eluri builds accessibility systems, deepfake detection, and clinical tools: turning promising models into dependable real-world systems.",
192571558.the-proximity-paradox-what-northeasterns,2026-03-30T04:38:05.074Z,true,2026-03-30T04:38:05.205Z,2026-03-30T04:38:05.205Z,newsletter,everyone,The Proximity Paradox: What Northeastern’s Global Campus Actually Means,"By the time you finish orientation at Northeastern University, you’ve heard “global” so many times it stops meaning anything.",
192473618.how-gps-tracking-works-and-why-four,2026-03-29T02:08:32.265Z,true,2026-03-29T02:08:32.429Z,2026-03-29T02:08:32.429Z,newsletter,everyone,How GPS Tracking Works And Why Four Data Points Can Identify You ,What's actually happening when GPS finds your location and why most people don't care until it breaks,
192373155.how-to-find-boston-housing-without,2026-03-28T03:53:58.051Z,true,2026-03-28T03:53:58.197Z,2026-03-28T03:53:58.197Z,newsletter,everyone,How to Find Boston Housing Without Getting Scammed,The complete verification protocol international students use to secure legitimate apartments remotely,
192259661.build-before-you-apply-why-your-github,2026-04-03T13:00:58.315Z,true,,,newsletter,everyone,Build Before You Apply: Why Your GitHub Matters More Than Your GPA,GPA gets you in the door. Your GitHub gets you the offer.,
192251858.ffff,,false,,,newsletter,only_paid,,,
192231340.the-difference-between-performing,2026-03-26T17:52:52.521Z,true,2026-03-26T17:52:52.651Z,2026-03-26T17:52:52.651Z,newsletter,everyone,The Difference Between Performing Your Career and Architecting It,A profile of Yadeesh K R — and a case study in choosing growth over stability.,
192051971.built-it-couldnt-ship-it-the-part,2026-03-27T01:25:22.539Z,true,2026-03-27T01:25:22.682Z,2026-03-27T01:25:22.682Z,newsletter,everyone,Built It. Couldn’t Ship It. The Part Nobody Teaches You,"I had a working dashboard, a validated data model, and no way to share any of it. What happened next taught me more than the build itself.",
192029425.why-simple-games-win-the-dr-driving,2026-03-24T21:31:59.195Z,true,2026-03-24T21:31:59.328Z,2026-03-24T21:31:59.328Z,newsletter,everyone,Why Simple Games Win: The Dr. Driving Paradox ,Dr. Driving shouldn't have worked. Crude graphics. Repetitive gameplay. A single road.,
191903793.this-game-teaches-you-how-to-play,2026-03-30T14:02:58.289Z,true,2026-03-30T14:02:58.418Z,2026-03-30T14:02:58.418Z,newsletter,everyone,This Game Teaches You How to Play — Then Punishes You for It,A design idea about breaking player expectations through a single irreversible moment.,
191804391.who-taught-the-machine-to-doubt-the,2026-03-22T22:05:40.525Z,true,2026-03-22T22:05:40.609Z,2026-03-22T22:05:40.609Z,newsletter,everyone,Who Taught the Machine to Doubt the Evidence?,"When digital twins start overriding reality, that’s not a technical problem. It’s a political one.",
191709704.what-the-cold-actually-asks-of-you,2026-03-21T21:59:32.408Z,true,2026-03-21T21:59:32.495Z,2026-03-21T21:59:32.495Z,newsletter,everyone,What the Cold Actually Asks of You,Nobody told us the air would actually hurt,
191618846.designing-around-one-moment-the-idea,,false,,,newsletter,only_paid,,,
191524472.the-part-of-embedded-systems-nobody,2026-03-19T21:57:36.969Z,true,2026-03-19T21:57:37.096Z,2026-03-19T21:57:37.096Z,newsletter,everyone,The Part of Embedded Systems Nobody Teaches You,"On Rust, legacy code, and the hidden cost of trusting the programmer",
191523930.copy-llms-and-the-missing-art-of,,false,,,newsletter,everyone,,,
191516558.llms-and-the-missing-art-of-dissent,2026-03-19T20:59:27.268Z,true,2026-03-19T20:59:27.363Z,2026-03-19T20:59:27.363Z,newsletter,everyone,LLMs and The Missing Art of Dissent,The problem with tools that always say yes,
191511989.the-engineer-nobody-photographed,2026-03-19T21:20:33.056Z,true,2026-03-19T21:20:33.194Z,2026-03-19T21:20:33.194Z,newsletter,everyone,The Engineer Nobody Photographed,"One engineer. Three companies. The same observation, every time.",
191506558.e60,,false,,,newsletter,only_paid,,,
191411604.how-to-land-on-the-right-side-of,2026-03-18T20:54:26.145Z,true,2026-03-18T20:54:26.239Z,2026-03-18T20:54:26.239Z,newsletter,everyone,How to Land on the Right Side of the Master’s Degree Gamble,"What’s replacing Master's is a more intentional decision: this specific degree, at this specific institution, for this specific career path, measured against these specific alternatives.",
191068540.the-physical-world-isnt-programmable,2026-03-15T22:17:26.152Z,true,2026-03-15T22:17:26.251Z,2026-03-15T22:17:26.251Z,newsletter,everyone,The Physical World Isn’t Programmable! Here’s What It Actually Is,A close read of five converging technology trends — and why the synthesis falls apart.,
190966218.artificial-intelligence-a-guide-for,2026-03-14T20:40:38.421Z,true,2026-03-14T20:40:38.517Z,2026-03-14T20:40:38.517Z,newsletter,everyone,Artificial Intelligence: A Guide for Thinking Humans,"Melanie Mitchell (2019) | Farrar, Straus and Giroux",
190948288.algorithms-to-live-by-the-computer,2026-03-14T16:58:20.539Z,true,2026-03-14T16:58:20.620Z,2026-03-14T16:58:20.620Z,newsletter,everyone,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian & Tom Griffiths (2016),
190907170.knowing-enough-to-distrust-the-machine,2026-03-14T03:51:15.201Z,true,2026-03-14T03:51:15.319Z,2026-03-14T03:51:15.319Z,newsletter,everyone,Knowing Enough to Distrust the Machine,Introducing Theorist.ai,
190898197.the-price-of-a-vada-pav-what-currency,2026-03-14T00:53:13.904Z,true,2026-03-14T00:53:14.004Z,2026-03-14T00:53:14.004Z,newsletter,everyone,The Price of a Vada Pav: What Currency Conversion Actually Measures,A popular report says Mumbai street food costs 33x more in Boston. Adjust for income and it’s 8x. The difference changes everything.,
190788782.the-builders-grammar,2026-03-13T00:30:39.985Z,true,2026-03-13T00:30:40.087Z,2026-03-13T00:30:40.087Z,newsletter,everyone,The Builder's Grammar,Ayushi Walia,
190733459.the-job-was-filled-before-you-saw,2026-03-12T14:46:50.405Z,true,2026-03-12T14:46:50.499Z,2026-03-12T14:46:50.499Z,newsletter,everyone,The Job Was Filled Before You Saw It,How XML feed latency and API gatekeeping disadvantage the job seekers who can least afford to be late — and what one team built to close the gap.,
190655923.the-window-that-closes,2026-03-11T19:45:05.824Z,true,2026-03-11T19:45:05.915Z,2026-03-11T19:45:05.915Z,newsletter,everyone,The Window That Closes,How incoherent playlist data silently ends independent music careers — and what the algorithm actually needs from you,
190420683.0c5,,false,,,newsletter,only_paid,,,
190129779.the-weight-of-what-you-build,2026-03-06T17:58:53.194Z,true,2026-03-06T17:58:53.302Z,2026-03-06T17:58:53.302Z,newsletter,everyone,The Weight of What You Build,What a graduate student building AI for emergency responders taught me about what engineering education is actually for.,
190066839.the-algorithmic-arbitrator-your-career,2026-03-06T03:14:07.033Z,true,2026-03-06T03:14:07.125Z,2026-03-06T03:14:07.125Z,newsletter,everyone,The Algorithmic Arbitrator: Your Career as a Credit Score,There is a number that follows you,
189797002.the-engineer-who-fixes-what-nobody,2026-03-03T18:51:41.248Z,true,2026-03-03T18:51:41.346Z,2026-03-03T18:51:41.346Z,newsletter,everyone,The Engineer Who Fixes What Nobody Asked Him To Fix,Sayam Khatri and the Question of What Graduate Education Is Actually For,
189796667.the-builder-who-said-no,2026-03-03T18:48:56.633Z,true,2026-03-03T18:48:56.730Z,2026-03-03T18:48:56.730Z,newsletter,everyone,The Builder Who Said No,Advaith Krishna Vasisht and the Architecture of Principled Engineering,
189674952.the-lab-that-builds-by-doing-nik,2026-03-02T17:30:14.949Z,true,2026-03-02T17:30:15.096Z,2026-03-02T17:30:15.096Z,podcast,everyone,The Lab That Builds by Doing: Nik Bear Brown's AI Education at Northeastern University,"While universities convene committees to discuss artificial intelligence, one Northeastern lab has already built hundreds of things with it",
189534919.the-hub-tax-how-a-hidden-graph-ai,2026-03-09T18:23:48.905Z,true,2026-03-09T18:23:48.999Z,2026-03-09T18:23:48.999Z,newsletter,everyone,"The Hub Tax - How a Hidden Graph AI Bottleneck Is Costing 13 Industries Billions, and the $35B Quantum Race to Eliminate It","IBM, Google, Microsoft, NVIDIA, IonQ, Quantinuum, and Amazon are betting on the same bottleneck. A new paper from Northeastern draws the map.",
189519823.the-precision-of-honest-work,2026-03-01T03:48:59.846Z,true,2026-03-01T03:48:59.948Z,2026-03-01T03:48:59.948Z,newsletter,everyone,The Precision of Honest Work,Aravind Balaji at Northeastern,
189421959.the-architect-who-didnt-wait-to-be,2026-02-28T01:47:10.433Z,true,2026-02-28T01:47:10.516Z,2026-02-28T01:47:10.516Z,newsletter,everyone,The Architect Who Didn't Wait to Be Asked,Anshika Khandelwal and the Discipline of Building Systems That Outlast Their Builder,
189414412.the-cost-of-the-pivot,2026-02-27T23:52:14.471Z,true,2026-02-27T23:52:14.562Z,2026-02-27T23:52:14.562Z,newsletter,everyone,The Cost of the Pivot,"How Aditi Deodhar Learned to Stop, Discard What Works, and Build What Matters",
189099888.what-i-actually-learned-building,,false,,,newsletter,only_paid,,,
188853687.the-infrastructure-of-good,2026-02-23T01:03:10.904Z,true,2026-02-23T01:03:11.005Z,2026-02-23T01:03:11.005Z,newsletter,everyone,The Infrastructure of Good,Learning by doing,
188842210.389,,false,,,newsletter,only_paid,,,
188635604.job-title-learning-analytics-specialist,2026-02-20T17:14:32.131Z,true,2026-02-20T17:14:32.226Z,2026-02-20T17:14:32.226Z,newsletter,everyone,Job Title: Learning Analytics Specialist (Part-Time),Job link: https://www.inferable.app/learning-analytics-analyst-part-time,
188186284.subby-the-writing-tool-you-didnt,2026-02-16T20:57:01.345Z,true,2026-02-16T20:57:01.453Z,2026-02-16T20:57:01.453Z,newsletter,everyone,Subby: The Writing Tool You Didn’t Know You Needed,Until You See What It Actually Does,
188185792.the-honest-gambit-why-aravind-balajis,2026-02-16T20:51:09.661Z,true,2026-02-16T20:51:09.744Z,2026-02-16T20:51:09.744Z,newsletter,everyone,The Honest Gambit: Why Aravind Balaji’s First Paper Matters More Than Its Hardware Gap,The Problem That Actually Exists,
188183890.qema-g-and-the-education-of-ambition,2026-02-16T20:39:18.999Z,true,2026-02-16T20:39:19.092Z,2026-02-16T20:39:19.092Z,newsletter,everyone,QEMA-G and the Education of Ambition,"
Aravind Balaji writes his first paper",
188107319.artificial-democracy-the-impact-of,2026-02-16T05:42:48.533Z,true,2026-02-16T05:42:48.661Z,2026-02-16T05:42:48.661Z,newsletter,everyone,"ARTIFICIAL DEMOCRACY: The Impact of Big Data on Politics, Policy, and Polity",Edited by Cecilia Biancalana and Eric Montigny,
187990674.the-lever-dataset-what-1400-jobs,2026-02-14T22:44:29.479Z,true,2026-02-14T22:44:29.572Z,2026-02-14T22:44:29.572Z,newsletter,everyone,"The Lever Dataset: What 1,400 Jobs Across 133 Companies Teach You About Actually Getting Hired","The weekly Lever jobs, February 14, 2026",
187983495.how-scientific-peer-review-actually,2026-02-14T20:56:28.972Z,true,2026-02-14T20:56:29.074Z,2026-02-14T20:56:29.074Z,newsletter,everyone,How Scientific Peer Review Actually Works—And Why It Matters,Notes on writing scientific papers,
187979940.mood-machine-the-rise-of-spotify,2026-02-14T19:59:54.959Z,true,2026-02-14T19:59:55.084Z,2026-02-14T19:59:55.084Z,newsletter,everyone,Mood Machine: The Rise of Spotify and the Costs of the Perfect Playlist ,Has optimizing for algorithms devalued art>,
